('DAI_AVINOC', 'USDC_AVINOC', 'DAI_USDC')
('USDC_USDT', 'USDC_ETHFI', 'USDT_ETHFI')
('USDC_USDS', 'DAI_USDC', 'DAI_USDS')
('WETH_RSS3', 'USDC_RSS3', 'USDC_WETH')
('USDC_WETH', 'WETH_ONDO', 'USDC_ONDO')
('USDC_AVINOC', 'WETH_AVINOC', 'USDC_WETH')
('DAI_FRAX', 'DAI_USDC', 'FRAX_USDC')
('WETH_SOL', 'WBTC_SOL', 'WBTC_WETH')
('WETH_SAITO', 'WETH_USDT', 'USDT_SAITO')
('WETH_FOLD', 'USDC_WETH', 'USDC_FOLD')
('USDC_crvUSD', 'WBTC_USDC', 'WBTC_crvUSD')
('WBTC_USDC', 'WBTC_WETH', 'USDC_WETH')
('USDC_ETHFI', 'WETH_ETHFI', 'USDC_WETH')
('USDT_ONDO', 'USDC_USDT', 'USDC_ONDO')
('USDC_USDf', 'USDT_USDf', 'USDC_USDT')
('USDC_WETH', 'WETH_AMPL', 'USDC_AMPL')
('WETH_ETHFI', 'WETH_USDT', 'USDT_ETHFI')
('USDC_WETH', 'USDC_TRIBE', 'WETH_TRIBE')
('FRAX_USDC', 'USDC_UST', 'FRAX_UST')
('USDC_WETH', 'USDC_AVAIL', 'WETH_AVAIL')
('WBTC_USDT', 'WETH_USDT', 'WBTC_WETH')
('WETH_RED', 'USDC_RED', 'USDC_WETH')
('USDC_RSS3', 'USDC_WETH', 'WETH_RSS3')
('USDT_USDf', 'USDC_USDf', 'USDC_USDT')
('DAI_WETH', 'DAI_AVINOC', 'WETH_AVINOC')
('WBTC_WETH', 'WETH_SOL', 'WBTC_SOL')
('WETH_SWAP', 'USDC_WETH', 'USDC_SWAP')
('USDC_USDT', 'USDT_AVINOC', 'USDC_AVINOC')
('WBTC_EURT', 'WBTC_WETH', 'WETH_EURT')
('DAI_WETH', 'WETH_AVINOC', 'DAI_AVINOC')
('USDC_WETH', 'USDC_AMPL', 'WETH_AMPL')
('USDC_SNX', 'DAI_SNX', 'DAI_USDC')
('WETH_AVINOC', 'WETH_USDT', 'USDT_AVINOC')
('WETH_KOIN', 'WETH_USDT', 'USDT_KOIN')
('DAI_WETH', 'WETH_USDT', 'DAI_USDT')
('USDC_ICSA', 'WETH_ICSA', 'USDC_WETH')
('DAI_USDT', 'WETH_USDT', 'DAI_WETH')
('DAI_USDC', 'WBTC_DAI', 'WBTC_USDC')
('WETH_ETHFI', 'USDT_ETHFI', 'WETH_USDT')
('DAI_USDC', 'USDC_AVINOC', 'DAI_AVINOC')
('WETH_TRIBE', 'USDC_TRIBE', 'USDC_WETH')
('USDC_wCFG', 'WETH_wCFG', 'USDC_WETH')
('WBTC_WETH', 'WBTC_SOL', 'WETH_SOL')
